en,tr,fr,title,speaker,duration,tags
"
","
","
",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Rires)
									",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
","
","
",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
											Just moving on,
											let's take the world-famous
Vincent Van Gogh,
											who is very well-represented
on this platform.
											Thanks to the diversity
of the institutions we have,
											we have over 211 high-definition,
amazing artworks by this artist,
											now organized in one beautiful view.
											And as it resolves,
and as Cyril goes deeper,
											you can see all the self-portraits,
											you can see still life.
											But I just wanted to highlight
one very quick example,
											which is very timely:
											""The Bedroom.""
											This is an artwork
where three copies exist —
											one at the Van Gogh Museum in Amsterdam,
											one at the Orsay in Paris
											and one at the Art Institute of Chicago,
											which, actually, currently
is hosting a reunion
											of all three artworks physically,
											I think only for the second time ever.
											But, it is united digitally and virtually
for anybody to look at
											in a very different way,
											and you won't get pushed
in the line in the crowd.
											So let's take you and let's travel
through ""The Bedroom"" very quickly,
											so you can experience what we are doing
for every single object.
											We want the image to speak
as much as it can
											on a digital platform.
											And all you need is an internet
connection and a computer
									","
											Devam ediyorum.
											Bu platformda çok iyi temsil 
edilen dünyaca ünlü
											Vincent Van Gogh'u ele alalım.
											Kurumlarımızın çeşitliliği 
sayesinde bu sanatçının
											artık tek bir güzel görünümde 
düzenlenmiş olan 211'in üzerinde
											yüksek çözünürlüklü harika 
sanat çalışması var.
											Çözünürlüğü arttıkça 
ve Cyril derine indikçe
											bütün otoportreleri görebilirsiniz,
											sakin hayatı görebilirsiniz.
											Ancak hızlıca tam zamanı 
gelen bir örneğin
											üzerinde durmak istiyorum:
											""Yatak Odası"".
											Bu üç kopyası olan bir sanat eseri —
											Biri Amsterdam'daki Van Gogh Müzesi'nde,
											biri Paris'teki Orsay'da
											ve diğeri de Şikago'daki 
Sanat Enstitüsü'nde,
											ki esasında şu anda üç sanat 
eserinin hepsini birden
											fiziksel olarak bir araya getiriyor,
											bunun şimdiye dek ikinci kez 
olduğunu düşünüyorum.
											Ancak herkesin çok farklı şekilde 
bakması için dijital ve sanal olarak
											bir araya getirildi
											ve kalabalıkta sırada itilmeyeceksiniz.
											O zaman sizi alıp ""Yatak Odası""nda 
çabucak dolanalım,
											böylece her bir obje için ne 
yaptığımızı deneyimleyebilirsiniz.
											Görüntünün dijital platformda 
olabildiğince
											seslenmesini istiyoruz.
											Bütün ihtiyacınız olan şey 
internet bağlantısı ve bir bilgisayar.
									","
											Passons.
											Prenons le célèbre Vincent Van Gogh,
											qui est très bien représenté
sur cette plateforme.
											Grâce à la diversité de nos institutions,
nous avons
											plus de 211 œuvres formidables
de cet artiste en haute définition,
											maintenant organisées
en un bel ensemble.
											Et quand on s'approche,
et que Cyril va plus loin,
											on peut voir les autoportraits,
											on peut voir la nature morte.
											Mais j'aimerais attirer votre attention
sur un exemple,
											qui tombe bien :
											« La Chambre ».
											Cet ouvrage, dont existent
trois copies —
											une au musée Van Gogh à Amsterdam,
											une au musée d'Orsay à Paris,
											et une à l'Art Institute de Chicago,
											qui réunit en ce moment
											les trois œuvres,
											pour la seconde fois.
											Mais ils sont réunis numériquement et
virtuellement pour que tous les admirent
											d'une façon très différente,
											et sans se faire presser par la foule.
											Alors, très vite, visitons
« La Chambre »,
											pour que vous puissiez vivre
ce que nous faisons pour chaque objet.
											Nous voulons que l'image parle
autant que le permet
											la plateforme digitale.
											Il ne vous faut qu'une connexion
internet et un ordinateur.
									",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
","
","
",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
											(Applause)
									","
											(Alkış)
									","
											(Applaudissements)
									",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
","
","
",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
											And, Cyril, if you can go deeper, quickly.
											I'm sorry, this is all live,
											so you have to give Cyril
a little bit of —
											and this is available for every object:
											modern art, contemporary art,
Renaissance — you name it,
											even sculpture.
									","
											Ve Cyril çabucak derine inebilirsen.
											Pardon, bütün bunlar canlı,
											o yüzden Cyril'a biraz —
											ve bu her obje için mevcut:
											Modern sanat, çağdaş sanat, 
Rönesans — adını siz koyun,
											heykel dâhil.
									","
											Et Cyril, si tu peux vite te rapprocher.
											Pardon, on est en temps réel,
											alors il faudra permettre à Cyril...
											Ceci est disponible
pour tous les objets :
											art moderne, contemporain,
Renaissance, ce que vous voulez,
											même la sculpture.
									",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
","
","
",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
											Sometimes, you don't know
what can attract you
											to an artwork or to a museum
or to a cultural discovery.
											So for me, personally,
it was quite a challenge
											because when I decided to make this
my full-time job at Google,
											my mother was not very supportive.
											I love my mother,
											but she thought I was wasting my life
with this museum stuff.
											And for her, a museum is what
you do when you go on vacation
											and you tick-mark and it's over, right?
											And it took around four and a half years
											for me to convince my lovely Indian mother
											that actually, this is worthwhile.
											And the way I did it was,
I realized one day that she loves gold.
											So I started showing her all objects
that have the material gold in them.
											And the first thing my mom asks me is,
											""How can we buy these?""
									","
											Bazen sizi bir sanat eserine 
veya bir müzeye
											veya kültürel bir keşfe çeken 
şeyi bilemezsiniz.
											Benim için bu oldukça zorluydu,
											çünkü bunu Google'da tam zamanlı 
işim olarak yapmaya karar verdiğimde,
											annem çok destekleyici değildi.
											Annemi seviyorum,
											ama o hayatımı bu müze işleriyle 
boşa harcayacağımı düşündü.
											Ona göre bir müzeye tatile 
çıktığında gidersin
											ve işaret koyarsın ve biter, değil mi?
											Sevgili Hintli annemi aslında
											buna değer olduğuna ikna etmem
											yaklaşık dört buçuk yılımı aldı.
											Bunu şöyle yaptım, bir gün altın 
sevdiğini fark ettim.
											Böylece ona içinde altın materyali olan 
bütün objeleri göstermeye başladım.
											Annemin bana ilk sorduğu şey,
											""Bunları nasıl alabiliriz?""
									","
											Parfois, on ignore ce qui nous attire
											vers un ouvrage, un musée,
ou une découverte culturelle.
											Alors pour moi personnellement,
c'était un défi car,
											quand j'ai décidé de m'engager
à ce métier à plein temps chez Google,
											ma mère n'était pas trop d'accord.
											J'aime ma mère,
											mais à ses yeux, je perdais
mon temps avec cette histoire de musées.
											Pour elle, un musée, c'est ce
qu'on visite en vacances,
											qu'on coche dans une liste et c'est tout.
											Et cela m'a pris environ
quatre ans et demi
											pour convaincre ma charmante
mère indienne
											qu'en effet, cela en vaut la peine.
											Et je m'y suis pris
en réalisant un jour qu'elle adorait l'or.
											Alors j'ai commencé à lui montrer tous
les objets qui contenaient de l'or.
											Et la première chose qu'elle m'a demandé :
											comment fait-on pour acheter tout ça ?
									",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
"
","
","
",Every piece of art you've ever wanted to see — up close and searchable,Amit Sood,15:00,"beauty,big bang,collaboration,data,computers,machine learning,exploration,future,Google,innovation,history,Internet,library,museums,society,painting,technology,software,visualizations,world cultures,culture,art"
