en,pt,es,tr,title,speaker,duration,tags
"
","
","
","
",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
											But then it happened.
											With the right temperatures,
times and chemicals,
											we finally got that successful test result
											showing us that we had created
activated carbon from Styrofoam waste.
											And at that moment,
the thing that had been impossible
											all of a sudden wasn't.
											It showed us that although we had
many failures at the beginning,
											we were able to persevere through them
to get the test results that we wanted.
											And moreover, not only were we able
to create activated carbon
											for purifying water,
											but we were also able
to reduce Styrofoam waste,
											solving two global problems
with just one solution.
									","
											Até que aconteceu.
											Com as temperaturas,
os tempos e os químicos certos,
											finalmente conseguimos
este resultado com êxito
											que nos mostrava que tínhamos criado
carvão ativado a partir de esferovite.
											Nesse momento, o que era impossível
											de repente deixou de ser.
											Mostrou-nos que, apesar de termos 
tido muitos fracassos no início,
											conseguimos perseverar
e obter os resultados que queríamos.
											Além disso, não só conseguimos
criar carvão ativado
											para purificar a água,
											como conseguimos reduzir 
o lixo de esferovite,
											resolvendo dois problemas globais 
apenas com uma solução.
									","
											Pero luego ocurrió.
											Con las temperaturas adecuadas,
los tiempos y químicos,
											finalmente obtuvimos
un resultado exitoso
											habíamos creado carbón activo 
de poliestireno desechado.
											En ese momento, 
lo que parecía imposible
											de repente ya no lo era.
											Aunque al principio 
tuvimos muchos fracasos,
											perseveramos y obtuvimos 
los resultados que queríamos.
											Además, no sólo creamos carbón activo
											para purificar agua,
											sino redujimos 
el poliestireno desechado,
											solucionando dos problemas 
globales con una solución.
									","
											Ama sonra bir şey oldu.
											Doğru ısı derecesi,
zamanlama ve kimyasallar ile
											sonunda bizlere, strafor atığından
											aktif karbon yarattığımızı gösteren
başarılı test sonucunu almayı başardık.
											İşte o anda, imkânsız olan o şey
											artık öyle değildi.
											Başlangıçta birçok
başarısızlık yaşamamıza karşın,
											istediğimiz sonuçları alabilmek
için yeterince azim gösterebilmiştik.
											Dahası, tek bir yolla
iki küresel sorunu çözerek
											sadece su arıtma için değil,
											aynı zamanda strafor atığını
											azaltabilecek aktif
karbonu yaratabilmiştik.
									",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
","
","
","
",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
											So from then on, we were inspired
to take our project further,
											performing more tests
to make it more effective
											and testing it in real world situations.
											We then proceeded to receive funding
											from the NSTA's eCYBERMISSION
STEM-in-Action program
											sponsored by the US Army,
											as well as FIRST Global Innovation Awards
											sponsored by XPRIZE.
											And we were also honored
											with the Scientific American
Innovator Award
											from Google Science Fair.
											And using these funds, we plan
to file a full patent on our process
											and to continue to work on our project.
									","
											Ficámos inspirados 
para continuar o nosso projeto,
											fazer mais testes 
para o tornar mais eficaz
											e a testá-lo em situações reais.
											Passámos a receber financiamento
											do programa eCYBERMISSION 
STEM-in-Action, da NSTA,
											patrocinado pelo exército dos EUA,
											e recebemos o prémio
FIRST Global Innovation
											patrocinado pelo XPRIZE.
											Também fomos distinguidos
											com o prémio Scientific American Innovator
											da Google Science Fair.
											Com estes fundos, planeamos obter
uma patente sobre o nosso processo
											e continuar a trabalhar no projeto.
									","
											De ahí en adelante nos inspiramos
para continuar el proyecto,
											realizamos más pruebas
para hacerlo más efectivo
											y lo probamos en situaciones reales.
											Luego recibimos financiamiento
											del programa STEM-in-Action 
eCYBERMISSION de NSTA
											patrocinado por la armada de EE UU
											y también de los premios 
de innovación FIRST
											patrocinado por XPRiZE.
											También fuimos premiados
											con el premio Científico
Innovador Americano
											de la Feria de Ciencia de Google.
											Utilizando estos fondos, planeamos
solicitar la patente del proceso
											y continuar trabajando en el proyecto.
									","
											O zamandan beri, projemizi
daha ileri taşımaya karar verdik,
											daha etkili olabilmesi
için daha çok test yapıp
											günlük hayattaki
durumlar üzerine deniyorduk.
											ABD ordusu sponsporluğunda,
											NSTA'NIN ""eCYBERMISSION
STEM-in-Action"" programından
											ve XPRIZE sponsorluğunda
											FIRST Küresel Yenileşim Ödülleri'nce fon
											desteği almaya başladık.
											Google Bilim Fuarı'ndan
											Bilimsel Amerikan Mucit Ödülü'nü
											almaya layık görüldük.
											Bu fonları kullanarak
projemizde ilerlemeyi
											ve patent hakkını almayı planlıyoruz.
									",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
","
","
","
",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
											So yes, although we started
with catching my dad's grill on fire
											and failing so many times
that we almost quit,
											it was well worth it
when we look back at it now.
											We took a problem
that many people said was impossible
											and we made it possible,
											and we persevered when it looked
like nothing that we did would work.
											We learned that you can't have success
											without a little,
											or a lot, of failure.
									","
											Sim, apesar de termos começado 
por pegar fogo ao grelhador do meu pai
											e falharmos tantas vezes
que quase desistimos,
											valeu bem a pena quando hoje 
olhamos para trás.
											Pegámos num problema que as pessoas
diziam ser impossível
											e tornámo-lo possível.
											Perseverámos quando parecia
que nada do que fazíamos resultava.
											Aprendemos que não podemos ter sucesso
											sem um bocadinho,
											ou muito fracasso.
									","
											Aunque comenzamos incendiando
la parrilla de mi papá
											y fracasamos tantas veces
que casi nos rendimos,
											valió la pena cuando miramos hacia atrás
											Tomamos un problema 
que muchos decían era imposible
											y lo hicimos posible,
											y perseveramos aun cuando
parecía que nada funcionaría.
											Aprendimos que no se tiene éxito
											sin un poco de,
											o mucho, fracaso.
									","
											Evet, babamın ızgarasının
tutuşmasıyla başladı ve çoğu zaman
											neredeyse pes edeceğimiz
birçok başarısızlık yaşadık,
											yine de şimdi dönüp
baktığımızda buna değmiş diyoruz.
											Çoğu insanın imkânsız
olduğunu söylediği bir sorunu ele alıp
											onu mümkün kıldık
											ve yaptığımız hiçbir şey işe
yaramamış gibi gözüktüğünde direndik.
											Başarının, biraz
											veya birçok başarısızlıktan
											geçtiğini öğrendik.
									",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
","
","
","
",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
											So in the future, don't be afraid
if your grill goes up in flames,
											because you never know
when your idea might just catch fire.
									","
											Então, no futuro, não tenham medo 
se o vosso grelhador se incendiar,
											porque nunca se sabe quando é
que a ideia pode surgir desse fogo.
									","
											En el futuro, no se asusten
si su parrilla se incendia,
											porque nunca sabrán cuándo 
su idea se encenderá.
									","
											Eğer olur da ızgaran alev alırsa korkma,
											çünkü bir fikrin ne zaman
alev alacağını kestiremiyorsun.
									",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
","
","
","
",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
											Thank you.
									","
											Obrigado.
									","
											Gracias.
									","
											Teşekkürler.
									",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
","
","
","
",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
											(Applause)
									","
											(Aplausos)
									","
											(Aplausos)
									","
											(Alkış)
									",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
","
","
","
",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
